EmployeeProjectID,EmployeeID,ProjectID,AllocationPercentage
1,1001,507,100
2,1002,519,100
3,1003,511,75
4,1003,507,25
5,1004,516,100
6,1005,513,100
7,1006,515,100
8,1007,505,100
9,1008,509,100
10,1009,505,100
11,1010,508,50
12,1010,518,50
13,1011,518,100
14,1012,509,100
15,1013,519,100
16,1014,514,100
17,1015,519,100
18,1016,513,100
19,1017,512,100
20,1018,508,75
21,1018,505,25
22,1019,517,50
23,1019,516,50
24,1020,503,100
25,1021,502,100
26,1022,504,100
27,1023,505,100
28,1024,506,50
29,1024,514,25
30,1024,503,25
31,1025,513,50
32,1025,520,50
33,1026,520,100
34,1027,515,50
35,1027,517,50
36,1028,509,100
37,1029,518,50
38,1029,501,50
39,1030,504,100
40,1031,518,100
41,1032,509,100
42,1033,511,100
43,1034,504,100
44,1035,510,100
45,1036,514,100
46,1037,506,50
47,1037,515,25
48,1037,501,25
49,1038,509,100
50,1039,517,50
51,1039,506,50
52,1040,517,100
53,1041,504,100
54,1042,510,100
55,1043,517,100
56,1044,520,100
57,1045,507,100
58,1046,505,100
59,1047,512,100
60,1048,506,100
61,1049,518,100
62,1050,517,100
63,1051,501,50
64,1051,511,25
65,1051,516,25
66,1052,501,100
67,1053,504,100
68,1054,512,100
69,1055,510,100
70,1056,508,100
71,1057,502,100
72,1058,508,100
73,1059,519,100
74,1060,503,100
75,1061,503,100
76,1062,516,100
77,1063,503,100
78,1064,518,100
79,1065,505,50
80,1065,520,50
81,1066,516,100
82,1067,518,50
83,1067,506,50
84,1068,509,100
85,1069,517,75
86,1069,514,25
87,1070,507,100
88,1071,518,100
89,1072,507,50
90,1072,510,25
91,1072,513,25
92,1073,512,100
93,1074,515,75
94,1074,517,25
95,1075,515,100
96,1076,504,50
97,1076,508,50
98,1077,508,100
99,1078,503,100
100,1079,511,50
101,1079,501,50
102,1080,519,50
103,1080,518,50
104,1081,508,100
105,1082,519,100
106,1083,508,100
107,1084,501,50
108,1084,503,50
109,1085,502,50
110,1085,508,25
111,1085,503,25
112,1086,502,100
113,1087,511,100
114,1088,503,50
115,1088,517,50
116,1089,508,100
117,1090,509,100
118,1091,516,50
119,1091,507,50
120,1092,518,100
121,1093,505,100
122,1094,519,100
123,1095,519,100
124,1096,516,100
125,1097,508,75
126,1097,516,25
127,1098,514,100
128,1099,507,100
129,1100,504,50
130,1100,520,50
